JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
1,webserver-job,webserver-monthly-volnum-0,F,T,1,Append,2017-01-09 20:00:00,NA,Friday,2017-01-06 22:00:00,2030,0.058
5,webserver-job,webserver-daily-volnum-0,D,T,2,Used,NA,2017-01-21 22:00:03,Monday,2017-01-09 22:00:00,2029,0.058
9,webserver-job,webserver-daily-volnum-0,D,T,2,Used,NA,2017-01-21 22:00:03,Tuesday,2017-01-10 22:00:00,2029,0.058
13,webserver-job,webserver-daily-volnum-0,D,T,2,Used,NA,2017-01-21 22:00:03,Wednesday,2017-01-11 22:00:00,2029,0.058
17,webserver-job,webserver-daily-volnum-0,D,T,2,Used,NA,2017-01-21 22:00:03,Thursday,2017-01-12 22:00:00,2029,0.058
21,webserver-job,webserver-weekly-volnum-0,F,T,2,Append,2017-01-16 20:00:00,NA,Friday,2017-01-13 22:00:00,2030,0.058
25,webserver-job,webserver-daily-volnum-1,D,T,3,Append,2017-01-20 22:00:00,NA,Monday,2017-01-16 22:00:00,2029,0.058
