JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
19,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Append,2017-01-09 20:00:07,NA,Friday,2017-01-06 22:00:00,2030,0.058
118,webserver-job,webserver-weekly-CopyPool-0,F,T,2,Used,NA,2017-10-29 05:22:08,Friday,2017-01-13 22:00:00,2030,0.058
133,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-10 06:59:16,Monday,2017-01-16 22:00:00,2029,0.058
164,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-10 06:59:16,Tuesday,2017-01-17 22:00:00,2029,0.058
199,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-10 06:59:16,Wednesday,2017-01-18 22:00:00,2029,0.058
238,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-10 06:59:16,Thursday,2017-01-19 22:00:01,2029,0.058
281,webserver-job,webserver-weekly-CopyPool-1,F,T,3,Used,NA,2017-10-29 07:15:25,Friday,2017-01-20 22:00:00,2030,0.058
300,webserver-job,webserver-daily-CopyPool-0,D,T,4,Append,2017-10-05 08:03:53,NA,Monday,2017-01-23 22:00:01,2029,0.058
331,webserver-job,webserver-daily-CopyPool-0,D,T,4,Append,2017-10-05 08:03:53,NA,Tuesday,2017-01-24 22:00:00,2029,0.058
366,webserver-job,webserver-daily-CopyPool-0,D,T,4,Append,2017-10-05 08:03:53,NA,Wednesday,2017-01-25 22:00:00,2029,0.058
405,webserver-job,webserver-daily-CopyPool-0,D,T,4,Append,2017-10-05 08:03:53,NA,Thursday,2017-01-26 22:00:01,2029,0.058
448,webserver-job,webserver-weekly-CopyPool-2,F,T,4,Append,2017-01-30 20:00:05,NA,Friday,2017-01-27 22:00:00,2030,0.058
471,webserver-job,webserver-daily-CopyPool-0,D,T,5,Append,2017-10-05 08:03:53,NA,Monday,2017-01-30 22:00:01,2029,0.058
502,webserver-job,webserver-daily-CopyPool-0,D,T,5,Append,2017-10-05 08:03:53,NA,Tuesday,2017-01-31 22:00:01,2029,0.058
537,webserver-job,webserver-daily-CopyPool-0,D,T,5,Append,2017-10-05 08:03:53,NA,Wednesday,2017-02-01 22:00:00,2029,0.058
