JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
4,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Append,2017-01-09 20:00:05,NA,Friday,2017-01-06 22:00:00,2030,0.058
24,webserver-job,webserver-weekly-CopyPool-0,F,T,2,Used,NA,2017-10-25 23:05:57,Friday,2017-01-13 22:00:00,2030,0.058
28,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-06 23:13:54,Monday,2017-01-16 22:00:00,2029,0.058
32,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-06 23:13:54,Tuesday,2017-01-17 22:00:00,2029,0.058
36,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-06 23:13:54,Wednesday,2017-01-18 22:00:00,2029,0.058
40,webserver-job,webserver-daily-CopyPool-1,D,T,3,Used,NA,2017-10-06 23:13:54,Thursday,2017-01-19 22:00:00,2029,0.058
44,webserver-job,webserver-weekly-CopyPool-1,F,T,3,Append,2017-01-23 20:00:06,NA,Friday,2017-01-20 22:00:00,2030,0.058
48,webserver-job,webserver-daily-CopyPool-0,D,T,4,Append,2017-10-01 23:19:04,NA,Monday,2017-01-23 22:00:00,2029,0.058
52,webserver-job,webserver-daily-CopyPool-0,D,T,4,Append,2017-10-01 23:19:04,NA,Tuesday,2017-01-24 22:00:00,2029,0.058
56,webserver-job,webserver-daily-CopyPool-0,D,T,4,Append,2017-10-01 23:19:04,NA,Wednesday,2017-01-25 22:00:00,2029,0.058
