JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
19,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Used,NA,2018-09-28 03:29:06,Friday,2017-01-06 22:00:00,2030,0.058
281,webserver-job,webserver-weekly-CopyPool-1,F,T,3,Used,NA,2017-10-29 07:15:25,Friday,2017-01-20 22:00:00,2030,0.058
448,webserver-job,webserver-weekly-CopyPool-2,F,T,4,Used,NA,2017-10-29 09:08:39,Friday,2017-01-27 22:00:00,2030,0.058
619,webserver-job,webserver-monthly-CopyPool-1,F,T,5,Used,NA,2018-09-28 11:01:54,Friday,2017-02-03 22:00:00,2030,0.058
786,webserver-job,webserver-weekly-CopyPool-0,F,T,6,Append,2017-10-04 10:55:03,NA,Friday,2017-02-10 22:00:00,2030,0.058
949,webserver-job,webserver-weekly-CopyPool-0,F,T,7,Append,2017-10-04 10:55:03,NA,Friday,2017-02-17 22:00:00,2030,0.058
1112,webserver-job,webserver-weekly-CopyPool-0,F,T,8,Append,2017-10-04 10:55:03,NA,Friday,2017-02-24 22:00:00,2030,0.058
1139,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-10 21:34:59,Monday,2017-02-27 22:00:00,2029,0.058
1170,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-10 21:34:59,Tuesday,2017-02-28 22:00:00,2029,0.058
1203,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-10 21:34:59,Wednesday,2017-03-01 22:00:00,2029,0.058
1236,webserver-job,webserver-daily-CopyPool-0,D,T,9,Used,NA,2017-10-10 21:34:59,Thursday,2017-03-02 22:00:00,2029,0.058
1271,webserver-job,webserver-monthly-CopyPool-2,F,T,9,Append,2017-03-06 20:00:06,NA,Friday,2017-03-03 22:00:00,2030,0.058
1294,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-10 21:34:59,Monday,2017-03-06 22:00:01,2029,0.058
1325,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-10 21:34:59,Tuesday,2017-03-07 22:00:00,2029,0.058
1358,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-10 21:34:59,Wednesday,2017-03-08 22:00:00,2029,0.058
1393,webserver-job,webserver-daily-CopyPool-0,D,T,10,Used,NA,2017-10-10 21:34:59,Thursday,2017-03-09 22:00:00,2029,0.058
1430,webserver-job,webserver-weekly-CopyPool-0,F,T,10,Append,2017-10-04 10:55:03,NA,Friday,2017-03-10 22:00:01,2030,0.058
1457,webserver-job,webserver-daily-CopyPool-0,D,T,11,Used,NA,2017-10-10 21:34:59,Monday,2017-03-13 22:00:00,2029,0.058
1488,webserver-job,webserver-daily-CopyPool-0,D,T,11,Used,NA,2017-10-10 21:34:59,Tuesday,2017-03-14 22:00:00,2029,0.058
1521,webserver-job,webserver-daily-CopyPool-1,D,T,11,Append,2017-10-05 21:51:32,NA,Wednesday,2017-03-15 22:00:01,2029,0.058
1554,webserver-job,webserver-daily-CopyPool-1,D,T,11,Append,2017-10-05 21:51:32,NA,Thursday,2017-03-16 22:00:01,2029,0.058
1583,webserver-job,webserver-weekly-CopyPool-0,F,T,11,Append,2017-10-04 10:55:03,NA,Friday,2017-03-17 22:00:00,2030,0.058
1610,webserver-job,webserver-daily-CopyPool-1,D,T,12,Append,2017-10-05 21:51:32,NA,Monday,2017-03-20 22:00:00,2029,0.058
1641,webserver-job,webserver-daily-CopyPool-1,D,T,12,Append,2017-10-05 21:51:32,NA,Tuesday,2017-03-21 22:00:00,2029,0.058
1674,webserver-job,webserver-daily-CopyPool-1,D,T,12,Append,2017-10-05 21:51:32,NA,Wednesday,2017-03-22 22:00:00,2029,0.058
