JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolRecycleTime,DayOfWeek,StartTime,Files,GB
1,webserver-job,webserver-monthly-volnum-0,F,T,1,Used,2017-12-30 22:00:04,Monday,2017-01-02 22:00:00,2030,0.058
6,webserver-job,webserver-monthly-volnum-1,F,T,1,Append,NA,Friday,2017-01-06 22:00:02,2030,0.058
9,webserver-job,webserver-daily-volnum-1,D,T,2,Used,2017-01-21 22:00:05,Monday,2017-01-09 22:00:02,2029,0.058
10,webserver-job,webserver-daily-volnum-1,D,T,2,Used,2017-01-21 22:00:05,Tuesday,2017-01-10 22:00:02,2029,0.058
11,webserver-job,webserver-daily-volnum-1,D,T,2,Used,2017-01-21 22:00:05,Wednesday,2017-01-11 22:00:02,2029,0.058
12,webserver-job,webserver-daily-volnum-1,D,T,2,Used,2017-01-21 22:00:05,Thursday,2017-01-12 22:00:02,2029,0.058
13,webserver-job,webserver-weekly-volnum-0,F,T,2,Append,NA,Friday,2017-01-13 22:00:02,2030,0.058
16,webserver-job,webserver-daily-volnum-0,D,T,3,Append,NA,Monday,2017-01-16 22:00:02,2029,0.058
